Time,well,value,mrna,buffer,buffer_conc,repeat,comment
1.874166666666667,K9,710,no,Ppi,.05 mM,R1,
1.9241666666666668,K9,553,no,Ppi,.05 mM,R1,
1.9741666666666666,K9,692,no,Ppi,.05 mM,R1,
2.0241666666666664,K9,588,no,Ppi,.05 mM,R1,
2.0741666666666667,K9,870,no,Ppi,.05 mM,R1,
2.1241666666666665,K9,796,no,Ppi,.05 mM,R1,
2.174166666666667,K9,589,no,Ppi,.05 mM,R1,
2.2241666666666666,K9,526,no,Ppi,.05 mM,R1,
2.274166666666667,K9,596,no,Ppi,.05 mM,R1,
2.3241666666666667,K9,583,no,Ppi,.05 mM,R1,
2.3741666666666665,K9,768,no,Ppi,.05 mM,R1,
2.424166666666667,K9,489,no,Ppi,.05 mM,R1,
2.4741666666666666,K9,414,no,Ppi,.05 mM,R1,
2.524166666666667,K9,789,no,Ppi,.05 mM,R1,
2.5741666666666667,K9,615,no,Ppi,.05 mM,R1,
2.6241666666666665,K9,648,no,Ppi,.05 mM,R1,
2.674166666666667,K9,696,no,Ppi,.05 mM,R1,
2.7241666666666666,K9,896,no,Ppi,.05 mM,R1,
2.774166666666667,K9,662,no,Ppi,.05 mM,R1,
2.8241666666666667,K9,585,no,Ppi,.05 mM,R1,
2.8741666666666665,K9,633,no,Ppi,.05 mM,R1,
2.924166666666667,K9,461,no,Ppi,.05 mM,R1,
2.9741666666666666,K9,599,no,Ppi,.05 mM,R1,
3.0241666666666664,K9,410,no,Ppi,.05 mM,R1,
3.0741666666666667,K9,648,no,Ppi,.05 mM,R1,
3.1241666666666665,K9,860,no,Ppi,.05 mM,R1,
3.1741666666666664,K9,448,no,Ppi,.05 mM,R1,
3.224166666666666,K9,660,no,Ppi,.05 mM,R1,
3.274166666666667,K9,587,no,Ppi,.05 mM,R1,
3.3241666666666667,K9,525,no,Ppi,.05 mM,R1,
3.3741666666666665,K9,511,no,Ppi,.05 mM,R1,
3.4241666666666672,K9,646,no,Ppi,.05 mM,R1,
3.474166666666667,K9,596,no,Ppi,.05 mM,R1,
3.524166666666667,K9,677,no,Ppi,.05 mM,R1,
3.5741666666666667,K9,813,no,Ppi,.05 mM,R1,
3.6241666666666665,K9,820,no,Ppi,.05 mM,R1,
3.674166666666667,K9,692,no,Ppi,.05 mM,R1,
3.7241666666666666,K9,593,no,Ppi,.05 mM,R1,
3.774166666666667,K9,589,no,Ppi,.05 mM,R1,
3.8241666666666667,K9,594,no,Ppi,.05 mM,R1,
3.8741666666666665,K9,613,no,Ppi,.05 mM,R1,
3.9241666666666664,K9,505,no,Ppi,.05 mM,R1,
3.974166666666666,K9,656,no,Ppi,.05 mM,R1,
4.024166666666667,K9,539,no,Ppi,.05 mM,R1,
4.074166666666667,K9,693,no,Ppi,.05 mM,R1,
4.1241666666666665,K9,458,no,Ppi,.05 mM,R1,
4.174166666666666,K9,652,no,Ppi,.05 mM,R1,
4.224166666666667,K9,642,no,Ppi,.05 mM,R1,
4.274166666666667,K9,637,no,Ppi,.05 mM,R1,
4.324166666666667,K9,837,no,Ppi,.05 mM,R1,
4.3741666666666665,K9,692,no,Ppi,.05 mM,R1,
4.424166666666666,K9,464,no,Ppi,.05 mM,R1,
4.474166666666667,K9,577,no,Ppi,.05 mM,R1,
4.524166666666667,K9,858,no,Ppi,.05 mM,R1,
4.574166666666667,K9,647,no,Ppi,.05 mM,R1,
4.6241666666666665,K9,633,no,Ppi,.05 mM,R1,
4.674166666666666,K9,576,no,Ppi,.05 mM,R1,
4.724166666666667,K9,667,no,Ppi,.05 mM,R1,
4.774166666666667,K9,488,no,Ppi,.05 mM,R1,
4.824166666666667,K9,504,no,Ppi,.05 mM,R1,
4.8741666666666665,K9,583,no,Ppi,.05 mM,R1,
4.924166666666666,K9,648,no,Ppi,.05 mM,R1,
4.974166666666667,K9,732,no,Ppi,.05 mM,R1,
5.024166666666667,K9,687,no,Ppi,.05 mM,R1,
5.074166666666667,K9,565,no,Ppi,.05 mM,R1,
5.1241666666666665,K9,702,no,Ppi,.05 mM,R1,
5.174166666666666,K9,840,no,Ppi,.05 mM,R1,
5.224166666666667,K9,454,no,Ppi,.05 mM,R1,
5.274166666666667,K9,689,no,Ppi,.05 mM,R1,
5.324166666666667,K9,477,no,Ppi,.05 mM,R1,
5.3741666666666665,K9,763,no,Ppi,.05 mM,R1,
5.424166666666666,K9,490,no,Ppi,.05 mM,R1,
5.474166666666667,K9,662,no,Ppi,.05 mM,R1,
5.524166666666667,K9,582,no,Ppi,.05 mM,R1,
5.574166666666667,K9,557,no,Ppi,.05 mM,R1,
5.6241666666666665,K9,632,no,Ppi,.05 mM,R1,
5.674166666666666,K9,552,no,Ppi,.05 mM,R1,
5.724166666666667,K9,469,no,Ppi,.05 mM,R1,
5.774166666666667,K9,731,no,Ppi,.05 mM,R1,
5.824166666666667,K9,651,no,Ppi,.05 mM,R1,
5.8741666666666665,K9,684,no,Ppi,.05 mM,R1,
5.924166666666666,K9,456,no,Ppi,.05 mM,R1,
5.974166666666667,K9,650,no,Ppi,.05 mM,R1,
6.024166666666666,K9,645,no,Ppi,.05 mM,R1,
6.074166666666667,K9,631,no,Ppi,.05 mM,R1,
6.124166666666666,K9,469,no,Ppi,.05 mM,R1,
6.174166666666666,K9,775,no,Ppi,.05 mM,R1,
6.224166666666667,K9,586,no,Ppi,.05 mM,R1,
6.274166666666667,K9,516,no,Ppi,.05 mM,R1,
6.324166666666667,K9,881,no,Ppi,.05 mM,R1,
6.3741666666666665,K9,697,no,Ppi,.05 mM,R1,
6.424166666666666,K9,576,no,Ppi,.05 mM,R1,
6.474166666666667,K9,438,no,Ppi,.05 mM,R1,
6.524166666666668,K9,533,no,Ppi,.05 mM,R1,
6.574166666666667,K9,547,no,Ppi,.05 mM,R1,
6.624166666666667,K9,823,no,Ppi,.05 mM,R1,
6.674166666666666,K9,521,no,Ppi,.05 mM,R1,
6.724166666666667,K9,746,no,Ppi,.05 mM,R1,
6.774166666666666,K9,578,no,Ppi,.05 mM,R1,
6.824166666666667,K9,578,no,Ppi,.05 mM,R1,
6.874166666666666,K9,683,no,Ppi,.05 mM,R1,
6.924166666666666,K9,688,no,Ppi,.05 mM,R1,
